x,y,Temp,R
273.56152349999996,99.359375,286.15865484470027,1.9789614720839843
273.56152349999996,99.50488275000001,286.15865484470027,1.9765155140518738
273.56152349999996,99.43359375,286.15865484470027,1.9777138687934674
273.48828124999994,99.50488275000001,286.0876152389482,1.9765155140518738
273.48828124999994,99.578125,286.0876152389482,1.9752843255435137
273.48828124999994,99.578125,286.0876152389482,1.9752843255435137
273.48828124999994,99.50488275000001,286.0876152389482,1.9765155140518738
273.48828124999994,99.578125,286.0876152389482,1.9752843255435137
273.41406225000003,99.578125,286.0156282574,1.9752843255435137
273.41406225000003,99.50488275000001,286.0156282574,1.9765155140518738
273.34277349999996,99.50488275000001,285.94648340324056,1.9765155140518738
273.34277349999996,99.578125,285.94648340324056,1.9752843255435137
273.34277349999996,99.50488275000001,285.94648340324056,1.9765155140518738
273.34277349999996,99.578125,285.94648340324056,1.9752843255435137
273.34277349999996,99.50488275000001,285.94648340324056,1.9765155140518738
273.26855474999996,99.578125,285.8744966641739,1.9752843255435137
273.26855474999996,99.50488275000001,285.8744966641739,1.9765155140518738
273.19531225000003,99.50488275000001,285.8034568159403,1.9765155140518738
273.19531225000003,99.43359375,285.8034568159403,1.9777138687934674
273.19531225000003,99.43359375,285.8034568159403,1.9777138687934674
273.121094,99.43359375,285.73147056183694,1.9777138687934674
273.121094,99.50488275000001,285.73147056183694,1.9765155140518738
273.121094,99.43359375,285.73147056183694,1.9777138687934674
273.046875,99.43359375,285.65948358028857,1.9777138687934674
273.046875,99.50488275000001,285.65948358028857,1.9765155140518738
272.97558575000005,99.50488275000001,285.59033824116597,1.9765155140518738
272.97558575000005,99.50488275000001,285.59033824116597,1.9765155140518738
272.902344,99.50488275000001,285.51929912037724,1.9765155140518738
272.902344,99.43359375,285.51929912037724,1.9777138687934674
272.828125,99.43359375,285.4473121388289,1.9777138687934674
272.828125,99.50488275000001,285.4473121388289,1.9765155140518738
272.828125,99.50488275000001,285.4473121388289,1.9765155140518738
272.828125,99.43359375,285.4473121388289,1.9777138687934674
272.828125,99.43359375,285.4473121388289,1.9777138687934674
272.753906,99.43359375,285.37532515728054,1.9777138687934674
272.68261725,99.43359375,285.3061803031212,1.9777138687934674
272.68261725,99.43359375,285.3061803031212,1.9777138687934674
272.609375,99.43359375,285.2351406973693,1.9777138687934674
272.535156,99.43359375,285.16315371582084,1.9777138687934674
272.535156,99.43359375,285.16315371582084,1.9777138687934674
272.46191425,99.43359375,285.0921145950322,1.9777138687934674
272.46191425,99.359375,285.0921145950322,1.9789614720839843
272.38964825,99.359375,285.02202188011324,1.9789614720839843
272.38964825,99.359375,285.02202188011324,1.9789614720839843
272.38964825,99.43359375,285.02202188011324,1.9777138687934674
272.38964825,99.359375,285.02202188011324,1.9789614720839843
272.38964825,99.43359375,285.02202188011324,1.9777138687934674
272.316406,99.43359375,284.9509822743612,1.9777138687934674
272.24218774999997,99.359375,284.8789960202579,1.9789614720839843
272.24218774999997,99.28515625,284.8789960202579,1.9802090753745012
272.24218774999997,99.28515625,284.8789960202579,1.9802090753745012
272.24218774999997,99.28515625,284.8789960202579,1.9802090753745012
272.16894525000004,99.28515625,284.80795617202426,1.9802090753745012
272.16894525000004,99.28515625,284.80795617202426,1.9802090753745012
272.0966795,99.28515625,284.7378636995869,1.9802090753745012
272.02246125,99.28515625,284.6658774454835,1.9802090753745012
272.02246125,99.28515625,284.6658774454835,1.9802090753745012
272.02246125,99.28515625,284.6658774454835,1.9802090753745012
272.02246125,99.21093775,284.6658774454835,1.9814566744625646
271.94921875,99.28515625,284.59483759724986,1.9802090753745012
271.875,99.28515625,284.52285085818323,1.9802090753745012
271.875,99.28515625,284.52285085818323,1.9802090753745012
271.875,99.28515625,284.52285085818323,1.9802090753745012
271.80371125,99.28515625,284.45370600402384,1.9802090753745012
271.72949225,99.28515625,284.3817190224755,1.9802090753745012
271.72949225,99.28515625,284.3817190224755,1.9802090753745012
271.72949225,99.28515625,284.3817190224755,1.9802090753745012
271.72949225,99.28515625,284.3817190224755,1.9802090753745012
271.72949225,99.21093775,284.3817190224755,1.9814566744625646
271.72949225,99.140625,284.3817190224755,1.982638618624455
271.65625,99.140625,284.31067941672353,1.982638618624455
271.58203124999994,99.140625,284.2386926776568,1.982638618624455
271.51074225,99.21093775,284.1695475810159,1.9814566744625646
271.51074225,99.21093775,284.1695475810159,1.9814566744625646
271.51074225,99.28515625,284.1695475810159,1.9802090753745012
271.43652349999996,99.28515625,284.09756084194913,1.9802090753745012
271.43652349999996,99.21093775,284.09756084194913,1.9814566744625646
271.36328124999994,99.21093775,284.02652123619714,1.9814566744625646
271.36328124999994,99.140625,284.02652123619714,1.982638618624455
271.28906225000003,99.140625,283.9545342546489,1.982638618624455
271.28906225000003,99.21093775,283.9545342546489,1.9814566744625646
271.28906225000003,99.140625,283.9545342546489,1.982638618624455
271.21777349999996,99.140625,283.88538940048943,1.982638618624455
271.21777349999996,99.140625,283.88538940048943,1.982638618624455
271.21777349999996,99.140625,283.88538940048943,1.982638618624455
271.21777349999996,99.140625,283.88538940048943,1.982638618624455
271.14355474999996,99.140625,283.8134026614228,1.982638618624455
271.07031225000003,99.140625,283.7423628131892,1.982638618624455
271.07031225000003,99.140625,283.7423628131892,1.982638618624455
271.07031225000003,99.140625,283.7423628131892,1.982638618624455
271.07031225000003,99.140625,283.7423628131892,1.982638618624455
271.07031225000003,99.140625,283.7423628131892,1.982638618624455
270.996094,99.140625,283.6703765590858,1.982638618624455
270.996094,99.06640625,283.6703765590858,1.9838862219149718
