x,y,rho_n,Temp
337.265625,219.9375,0.009445549187039437,5.0
337.33203130000004,221.0625,0.0010235115218154567,5.00126269755074
337.546875,220.640625,0.0041817756462744216,5.005347891482368
337.898438,221.199219,-1.8715640148769808e-09,5.012032765342692
338.179688,220.289062,0.006813666159784737,5.017380656825061
338.45703100000003,220.785156,0.0030997796233477315,5.022654257775797
338.945313,220.433594,0.0057316626506024315,5.031938805860397
339.296875,220.640625,0.0041817756462744216,5.038623660705996
339.78515600000003,220.21875,0.007340039770733386,5.047908189775872
340.210938,221.0625,0.0010235115218154567,5.056004317531057
340.699219,221.136719,0.00046788910983741605,5.065288846600932
341.19140600000003,220.921875,0.002076266229968371,5.0746476471877155
341.609375,220.714844,0.003626153234296381,5.08259521289436
342.101563,220.570312,0.004708156743478797,5.0919540324958685
342.59375,220.714844,0.003626153234296381,5.101312833082651
342.945313,220.640625,0.0041817756462744216,5.1079977069429745
343.433594,220.992187,0.0015498926190197215,5.1172822360128505
343.855469,220.785156,0.0030997796233477315,5.1253040732364035
344.34375,220.785156,0.0030997796233477315,5.134588602306279
344.839844,220.851562,0.002602647327172747,5.144021693424694
345.398438,220.992187,0.0015498926190197215,5.1546432048725235
345.960938,220.851562,0.002602647327172747,5.165338987837261
346.51953100000003,220.640625,0.0041817756462744216,5.1759604802703665
347.011719,220.992187,0.0015498926190197215,5.185319299871874
347.5,220.785156,0.0030997796233477315,5.194603828941749
347.851563,220.785156,0.0030997796233477315,5.2012887028020725
348.34375,220.992187,0.0015498926190197215,5.210647503388855
348.835938,220.785156,0.0030997796233477315,5.220006322990363
349.25390600000003,220.851562,0.002602647327172747,5.227953869682284
349.67578100000003,221.199219,-1.8715640148769808e-09,5.235975706905837
349.95703100000003,220.785156,0.0030997796233477315,5.241323598388205
350.308594,221.136719,0.00046788910983741605,5.248008472248529
350.796875,220.921875,0.002076266229968371,5.257293001318404
351.355469,220.785156,0.0030997796233477315,5.267914512766234
351.70703100000003,221.0625,0.0010235115218154567,5.274599367611833
352.058594,220.507812,0.005176047724880117,5.281284241472156
352.41015600000003,220.21875,0.007340039770733386,5.287969096317754
352.761719,220.433594,0.0057316626506024315,5.294653970178078
353.25,220.714844,0.003626153234296381,5.303938499247953
353.8125,220.714844,0.003626153234296381,5.31463428221269
354.371094,220.152344,0.007837172066908371,5.325255793660521
354.867188,220.640625,0.0041817756462744216,5.334688884778935
355.28125,220.785156,0.0030997796233477315,5.342562159953949
355.777344,220.507812,0.005176047724880117,5.351995251072364
356.339844,221.136719,0.00046788910983741605,5.362691034037102
356.828125,220.714844,0.003626153234296381,5.371975563106976
357.386719,220.714844,0.003626153234296381,5.382597074554807
357.87890600000003,220.992187,0.0015498926190197215,5.39195587514159
358.367188,220.21875,0.007340039770733386,5.40124042322619
358.929688,221.0625,0.0010235115218154567,5.411936206190927
359.5625,220.714844,0.003626153234296381,5.423968952518894
359.984375,220.785156,0.0030997796233477315,5.431990789742447
360.335938,220.507812,0.005176047724880117,5.438675663602771
360.542969,220.992187,0.0015498926190197215,5.442612301190278
361.03125,220.851562,0.002602647327172747,5.451896830260153
361.527344,220.785156,0.0030997796233477315,5.461329921378568
361.945313,220.570312,0.004708156743478797,5.469277487085213
362.230469,220.921875,0.002076266229968371,5.4746996500844896
362.648438,221.136719,0.00046788910983741605,5.482647215791135
363.070313,221.0625,0.0010235115218154567,5.490669053014688
363.62890600000003,220.714844,0.003626153234296381,5.501290545447794
364.261719,220.851562,0.002602647327172747,5.5133233107904855
364.89453100000003,220.851562,0.002602647327172747,5.525356057118453
365.453125,220.507812,0.005176047724880117,5.535977568566282
366.011719,221.0625,0.0010235115218154567,5.546599080014113
366.714844,220.851562,0.002602647327172747,5.5599688087200345
367.414063,220.851562,0.002602647327172747,5.5732642659090486
368.117188,220.921875,0.002076266229968371,5.586633994614971
368.609375,220.992187,0.0015498926190197215,5.595992795201753
369.09765600000003,220.785156,0.0030997796233477315,5.605277324271629
369.730469,220.851562,0.002602647327172747,5.617310089614321
370.36328100000003,220.082031,0.008363553164112747,5.629342835942288
370.921875,220.570312,0.004708156743478797,5.6399643473901175
371.480469,220.921875,0.002076266229968371,5.650585858837948
371.97265600000003,221.0625,0.0010235115218154567,5.659944659424731
372.53515600000003,220.082031,0.008363553164112747,5.670640442389468
373.023438,220.851562,0.002602647327172747,5.679924990474069
373.515625,221.136719,0.00046788910983741605,5.689283791060851
374.007813,220.851562,0.002602647327172747,5.698642610662358
374.496094,220.992187,0.0015498926190197215,5.707927139732234
374.917969,220.363281,0.006258043747806807,5.715948976955787
375.40625,220.785156,0.0030997796233477315,5.7252335060256625
375.83203100000003,221.199219,-1.8715640148769808e-09,5.733329614766123
376.183594,220.714844,0.003626153234296381,5.740014488626446
376.53515600000003,220.851562,0.002602647327172747,5.746699343472045
376.8125,220.992187,0.0015498926190197215,5.751972963437506
377.230469,220.992187,0.0015498926190197215,5.759920529144152
377.792969,220.785156,0.0030997796233477315,5.770616312108889
378.28515600000003,220.992187,0.0015498926190197215,5.779975112695672
378.703125,220.0117187,0.008889929020938214,5.7879226784023174
379.054688,220.0117187,0.008889929020938214,5.794607552262641
379.40625,221.0625,0.0010235115218154567,5.801292407108239
379.89453100000003,220.785156,0.0030997796233477315,5.810576936178115
380.31640600000003,221.136719,0.00046788910983741605,5.818598773401668
380.742188,220.714844,0.003626153234296381,5.826694901156853
381.09375,220.570312,0.004708156743478797,5.833379756002451
381.511719,220.289062,0.006813666159784737,5.841327321709097
381.789063,220.082031,0.008363553164112747,5.846600941674558
